"","gutenberg_id","text"
"1",30001,"  +-----------------------------------------------------+"
"2",30001,"  | Trancriber's note:                                  |"
"3",30001,"  |                                                     |"
"4",30001,"  | Letters enclosed in square brackets represent:      |"
"5",30001,"  | [=x] any letter with a macron (straight line above) |"
"6",30001,"  | [x.] any letter with a dot below                    |"
"7",30001,"  | [.x] any letter with a dot above                    |"
"8",30001,"  +-----------------------------------------------------+"
"9",30001,""
"10",30001,""
"11",30001,""
"12",30001,""
"13",30001,"  CONTRIBUTIONS FROM"
"14",30001,""
"15",30001,"  THE MUSEUM OF HISTORY AND TECHNOLOGY:"
"16",30001,""
"17",30001,"  PAPER 6"
"18",30001,""
"19",30001,""
"20",30001,""
"21",30001,""
"22",30001,"  ON THE ORIGIN OF CLOCKWORK,"
"23",30001,""
"24",30001,"  PERPETUAL MOTION DEVICES AND THE COMPASS"
"25",30001,""
"26",30001,"  _Derek J. de Solla Price_"
"27",30001,""
"28",30001,""
"29",30001,""
"30",30001,""
"31",30001,"  POWER AND MOTION GEARING                                   83"
"32",30001,""
"33",30001,"  MECHANICAL CLOCKS                                          84"
"34",30001,""
"35",30001,"  MECHANIZED ASTRONOMICAL MODELS                             88"
"36",30001,""
"37",30001,"  PERPETUAL MOTION AND THE CLOCK BEFORE DE DONDI            108"
"38",30001,""
"39",30001,"  THE MAGNETIC COMPASS AS A FELLOW-TRAVELER FROM CHINA      110"
"40",30001,""
"41",30001,""
"42",30001,""
"43",30001,""
"44",30001,"  _ON THE ORIGIN OF CLOCKWORK,_"
"45",30001,""
"46",30001,"  _PERPETUAL MOTION DEVICES_"
"47",30001,""
"48",30001,"  _AND THE COMPASS_"
"49",30001,""
"50",30001,"  _By Derek J. de Solla Price_"
"51",30001,""
"52",30001,""
"53",30001,"_Ancestor of the mechanical clock has been thought by some to be the"
"54",30001,"sundial. Actually these devices represent two different approaches to"
"55",30001,"the problem of time-keeping. True ancestor of the clock is to be found"
"56",30001,"among the highly complex astronomical machines which man has been"
"57",30001,"building since Hellenic times to illustrate the relative motions of the"
"58",30001,"heavenly bodies._"
"59",30001,""
"60",30001,"_This study--its findings will be used in preparing the Museum's new"
"61",30001,"hall on the history of time-keeping--traces this ancestry back through"
"62",30001,"2,000 years of history on three continents._"
"63",30001,""
"64",30001,"THE AUTHOR: _Derek J. de Solla Price wrote this paper while serving as"
"65",30001,"consultant to the Museum of History and Technology of the Smithsonian"
"66",30001,"Institution's United States National Museum._"
"67",30001,""
"68",30001,""
"69",30001,"  In each successive age this construction, having become"
"70",30001,"  lost, is, by the Sun's favour, again revealed to some one"
"71",30001,"  or other at his pleasure. (_S[=u]rya Siddh[=a]nta_, ed."
"72",30001,"  Burgess, xiii, 18-19.)"
"73",30001,""
"74",30001,""
"75",30001,"THE HISTORIES of the mechanical clock and the magnetic compass must be"
"76",30001,"accounted amongst the most tortured of all our efforts to understand the"
"77",30001,"origins of man's important inventions. Ignorance has too often been"
"78",30001,"replaced by conjecture, and conjecture by misquotation and the false"
"79",30001,"authority of ""common knowledge"" engendered by the repetition of"
"80",30001,"legendary histories from one generation of textbooks to the next. In"
"81",30001,"what follows, I can only hope that the adding of a strong new trail and"
"82",30001,"the eradication of several false and weaker ones will lead us nearer to"
"83",30001,"a balanced and integrated understanding of medieval invention and the"
"84",30001,"intercultural transmission of ideas."
"85",30001,""
"86",30001,"For the mechanical clock, perhaps the greatest hindrance has been its"
"87",30001,"treatment within a self-contained ""history of time measurement"" in which"
"88",30001,"sundials, water-clocks and similar devices assume the natural role of"
"89",30001,"ancestors to the weight-driven escapement clock in the early 14th"
"90",30001,"century.[1] This view must presume that a generally sophisticated"
"91",30001,"knowledge of gearing antedates the invention of the clock and extends"
"92",30001,"back to the Classical period of Hero and Vitruvius and such authors"
"93",30001,"well-known for their mechanical ingenuities."
"94",30001,""
"95",30001,"Furthermore, even if one admits the use of clocklike gearing before the"
"96",30001,"existence of the clock, it is still necessary to look for the"
"97",30001,"independent inventions of the weight-drive and of the mechanical"
"98",30001,"escapement. The first of these may seem comparatively trivial; anyone"
"99",30001,"familiar with the raising of heavy loads by means of ropes and pulley"
"100",30001,"could surely recognize the possibility of using such an arrangement in"
"101",30001,"reverse as a source of steady power. Nevertheless, the use of this"
"102",30001,"device is not recorded before its association with hydraulic and"
"103",30001,"perpetual motion machines in the manuscripts of Ri[d.]w[=a]n, _ca._ 1200,"
"104",30001,"and its use in a clock using such a perpetual motion wheel (mercury"
"105",30001,"filled) as a clock escapement, in the astronomical codices of Alfonso"
"106",30001,"the Wise, King of Castile, _ca._ 1272."
"107",30001,""
"108",30001,"The second invention, that of the mechanical escapement, has presented"
"109",30001,"one of the most tantalizing of problems. Without doubt, the crown and"
"110",30001,"foliot type of escapement appears to be the first complicated mechanical"
"111",30001,"invention known to the European Middle Ages; it heralds our whole age of"
"112",30001,"machine-making. Yet no trace has been found either of a steady evolution"
"113",30001,"of such escapements or of their invention in Europe, though the"
"114",30001,"astronomical clock powered by a water wheel and governed by an"
"115",30001,"escapement-like device had been elaborated in China for several"
"116",30001,"centuries before the first appearance of our clocks. We must now"
"117",30001,"rehearse a revised story of the origin of the clock as it has been"
"118",30001,"suggested by recent researches on the history of gearing and on Chinese"
"119",30001,"and other astronomical machines. After this we shall for the first time"
"120",30001,"present evidence to show that this story is curiously related to that of"
"121",30001,"the _Perpetuum Mobile_, one of the great chimeras of science, that came"
"122",30001,"from its medieval origin to play an important part in more recent"
